Year,Mount,Day,Hour,Total amount of precipitation,Vapor_Pressure,Relative_Humudity,Amount of cloudiness,Actual_Pressure,Temperature
2016,1,2,9,0,4.6,66,4,1019.7,3.2
2016,1,2,10,0,5.7,80,5,1019.7,2.3
2016,1,2,11,0,5.7,93,7,1019.9,0.2
2016,1,2,12,0,5.7,94,7,1019.9,0.1
2016,1,2,13,0,5.6,92,7,1019.9,0
2016,1,2,14,0,5.6,92,7,1020,-0.2
2016,1,2,15,0,5.7,94,7,1020.2,-0.7
2016,1,2,16,0,5.5,94,7,1020.3,-0.6
2016,1,2,17,0,5.2,86,7,1020.3,-0.6
2016,1,2,18,0,5.1,85,6,1020,-0.9
2016,1,2,19,0,4.6,76,6,1019.9,-0.6
2016,1,2,20,0,4.7,77,7,1019.8,-0.6
2016,1,2,21,0,5,83,7,1019.7,-0.6
2016,1,2,22,0,5.1,83,7,1019.2,-0.7
2016,1,2,23,0,4.9,80,7,1019.1,-0.4
2016,1,3,0,0,4.9,81,7,1018.6,-0.5
2016,1,3,1,0,4.6,76,7,1018.4,-0.1
2016,1,3,2,0,4.7,77,7,1018,-0.1
2016,1,3,3,0,5.2,81,7,1018,-0.1
2016,1,3,4,0,5.2,85,7,1017.7,-0.1
2016,1,3,5,0,5.1,83,7,1017.6,0
2016,1,3,6,0,5.3,86,7,1017.5,0.1
2016,1,3,7,0,5.1,84,7,1017.5,0.7
2016,1,3,8,0,5.3,81,7,1017,1
2016,1,3,9,0,5.2,78,7,1016.1,1.5
2016,1,3,10,0,5.1,76,8,1015.2,1.6
2016,1,3,11,0,5.3,81,8,1014,1.4
2016,1,3,12,0,5.5,82,8,1013.1,1.3
2016,1,3,13,0,5.4,84,8,1011.9,1.4
2016,1,3,14,0,5.8,87,8,1011.2,0.9
2016,1,3,15,0,5.7,93,8,1010.1,0.4
2016,1,3,16,0,5.9,97,8,1009.2,0.5
2016,1,3,17,0,6,99,8,1007.9,0.4
2016,1,3,18,0.2,6,99,8,1006.5,0.4
2016,1,3,19,0.8,6,99,8,1005.4,0.6
2016,1,3,20,0.4,6.5,99,8,1003.9,1.2
2016,1,3,21,0.2,6.5,99,8,1002.7,1.3
2016,1,3,22,0.8,6.5,99,8,1001.5,1.4
2016,1,3,23,0.2,6.5,99,8,1000.1,1.5
2016,1,4,0,0.4,6.5,99,8,999.1,1.8
2016,1,4,1,0.4,7,99,8,998.9,2
2016,1,4,2,0.6,7,99,8,997.9,2.6
2016,1,4,3,1,7.5,99,8,997.9,3.1
2016,1,4,4,0.2,7.5,99,8,997.7,3.3
2016,1,4,5,0,7.5,99,8,998.1,3.1
2016,1,4,6,0,7.5,99,8,998.6,3.1
2016,1,4,7,0.2,7.5,99,8,999.3,3.5
2016,1,4,8,0,8,99,8,1000.2,4.7
2016,1,4,9,0,8.6,99,8,1000.6,5.7
2016,1,4,10,0,9.2,98,8,1000.5,6.1
2016,1,4,11,0,9,97,8,1000.6,6
2016,1,4,12,0,8.5,98,8,1000.7,5.7
2016,1,4,13,0,8.5,99,8,1001.3,5.8
2016,1,4,14,0,8.5,99,8,1001.5,5.5
2016,1,4,15,0,8.5,99,8,1001,5.4
2016,1,4,16,0,8,99,8,1000.8,4.6
2016,1,4,17,0,8,99,8,1000.9,4.6
2016,1,4,18,0,8,99,8,1000.4,4.8
2016,1,4,19,0,8,99,8,999.5,4.8
2016,1,4,20,0,8.6,99,8,999.6,5
2016,1,4,21,0.2,8,99,8,998.4,4.8
2016,1,4,22,0.8,8.6,99,8,998.2,5.3
2016,1,4,23,0.4,8.6,99,8,997.6,5.4
2016,1,5,0,0.2,8.6,99,8,996.6,5.8
2016,1,5,1,1.2,8.6,99,8,995.5,5.8
2016,1,5,2,1.4,8.6,99,8,995,5.8
2016,1,5,3,0,8.6,99,8,993.9,5.6
2016,1,5,4,0.8,8.6,99,8,993.4,5.9
2016,1,5,5,0.2,9.3,99,8,992.8,6.5
2016,1,5,6,0.4,10.6,99,8,993.1,8.1
2016,1,5,7,0.2,11.4,99,8,993.8,9.5
2016,1,5,8,0,11.4,99,8,994.8,9.8
2016,1,5,9,0,12.1,99,8,995.1,10.1
2016,1,5,10,0,11.2,99,7,995.7,9.3
2016,1,5,11,0,10.5,98,8,996.8,8.1
2016,1,5,12,0,9.7,98,8,997.7,7.8
2016,1,5,13,0,9.8,98,8,999,7.2
2016,1,5,14,0,9.1,97,8,1000,6.4
2016,1,5,15,0,8.4,97,7,1001,5.8
2016,1,5,16,0,8.2,96,6,1002.4,5.7
2016,1,5,17,0,8.3,95,5,1002.9,5.4
2016,1,5,18,0,7.8,97,4,1003.6,4.7
2016,1,5,19,0,8,99,4,1004,4.4
2016,1,5,20,0,8,99,4,1004.5,4.4
2016,1,5,21,0,8,99,2,1004.5,4.3
2016,1,5,22,0,8,99,2,1004.7,4.1
2016,1,5,23,0,8.6,99,2,1004,5.3
2016,1,6,0,0,8.6,99,5,1004.4,6
2016,1,6,1,0,9.2,98,8,1004.2,6.2
2016,1,6,2,0.4,9.1,97,8,1003.6,6.4
2016,1,6,3,0.4,9.2,99,8,1003.5,6.1
2016,1,6,4,0.6,9.3,99,8,1003.5,6.2
2016,1,6,5,1.4,9.3,99,8,1003.1,6.5
2016,1,6,6,0,9.3,99,8,1002.8,6.5
2016,1,6,7,0,9.9,99,8,1002.4,7.2
2016,1,6,8,0,10.6,99,8,1001.9,8.4
2016,1,6,9,0,10.5,99,8,1001.4,8.6
2016,1,6,10,0,11.1,98,7,1000.4,9.8
2016,1,6,11,0,12.6,87,4,999.3,13.2
2016,1,6,12,0,14.1,85,6,998.6,15.1
2016,1,6,13,0,13.3,84,7,998.8,14.9
2016,1,6,14,0,13.8,82,7,998.5,15.3
2016,1,6,15,0,13.1,79,7,998,15.7
2016,1,6,16,0,13.1,78,7,997.6,15.5
2016,1,6,17,0,13,76,7,996.8,15.7
2016,1,6,18,0,12.6,77,7,996.4,15.9
2016,1,6,19,0,12.4,74,7,995.5,15.9
2016,1,6,20,0,12.8,81,7,994.3,14.2
2016,1,6,21,0,12.1,82,7,993.5,13.8
2016,1,6,22,0,12.3,80,7,992.7,14.5
2016,1,6,23,0,11.2,67,7,991.6,15.8
2016,1,7,0,0,10.9,64,7,990.6,15.5
2016,1,7,1,0,10.7,59,7,990.2,16.3
2016,1,7,2,0,10.4,57,7,989.5,16.6
2016,1,7,3,0,10.2,57,7,988.8,16.4
2016,1,7,4,0,9.1,47,7,988.6,17.3
2016,1,7,5,0,9.1,47,7,988.5,17.8
2016,1,7,6,0,9.1,47,6,986.8,17.6
2016,1,7,7,0,9.3,49,6,986.4,17.3
2016,1,7,8,0,9.5,50,6,986.4,17.1
2016,1,7,9,0,9.5,50,7,986.4,17.5
2016,1,7,10,1.2,9.9,51,6,986.4,17.2
2016,1,7,11,0.6,11.2,86,7,986.4,11.8
2016,1,7,12,3.6,11,83,7,986.4,11.6
2016,1,7,13,2.2,11.4,93,7,986.4,10.6
2016,1,7,14,0.6,11.9,97,7,986.4,10
2016,1,7,15,1.2,9.2,98,7,986.5,6.9
2016,1,7,16,0.2,9.3,99,7,988.4,6.2
2016,1,7,17,0,8.6,99,7,990,5.1
2016,1,7,18,0,8.5,99,7,990.9,5.2
2016,1,7,19,0,8.4,96,7,991.7,5.2
2016,1,7,20,0,8.1,93,7,992.1,5.1
2016,1,7,21,0.2,8,94,7,993.2,5.2
2016,1,7,22,0.2,8.4,96,7,993.7,5.1
2016,1,7,23,0,8.4,96,7,994.1,5
2016,1,8,0,0,8.5,97,7,994.5,5
2016,1,8,1,0,8.4,96,7,995.5,5.1
2016,1,8,2,0,8,92,7,996.1,5.4
2016,1,8,3,0,8.2,94,7,996.7,5.6
2016,1,8,4,0,8,92,7,997.5,5.7
2016,1,8,5,0,8.3,95,7,998.2,5.3
2016,1,8,6,0,7.8,96,6,999,4.8
2016,1,8,7,0,8,92,7,999.9,5.6
2016,1,8,8,0,7.9,89,7,1001.1,6.2
2016,1,8,9,0,7.2,79,7,1001.9,6.8
2016,1,8,10,0,7.1,71,5,1001.9,7.6
2016,1,8,11,0,6.9,64,6,1002.1,8.6
2016,1,8,12,0,6.9,63,7,1002.8,8.4
2016,1,8,13,0,6.6,63,4,1003,8.6
2016,1,8,14,0,6.7,68,3,1004.1,7.9
2016,1,8,15,0,6.8,70,5,1004.9,7.5
2016,1,8,16,0,6.4,70,6,1006,6.9
2016,1,8,17,0,6.9,73,5,1006.5,6.9
2016,1,8,18,0,7.3,81,6,1007,6.2
2016,1,8,19,0,7.4,86,5,1007.5,5.6
2016,1,8,20,0,7.6,86,5,1008,5.2
2016,1,8,21,0,7.8,88,2,1008.5,5.3
2016,1,8,22,0,7.6,93,2,1008.9,4.9
2016,1,8,23,0,7.7,95,1,1009,4.6
2016,1,9,0,0,8.4,93,3,1009.6,6.8
2016,1,9,1,0,8.1,88,2,1009.8,6.2
2016,1,9,2,0,8.3,96,0,1010.2,5.6
2016,1,9,3,0,8.2,96,0,1010.3,5.5
2016,1,9,4,0,8.3,97,3,1010.8,5.7
2016,1,9,5,0,8.5,97,4,1011.2,5.3
2016,1,9,6,0,8.5,99,1,1011.8,5
2016,1,9,7,0,9,97,3,1012.4,6.4
2016,1,9,8,0,8.4,75,0,1012.4,10.1
2016,1,9,9,0,8.4,61,0,1012,12.5
2016,1,9,10,0,8.1,54,0,1011.4,12.9
2016,1,9,11,0,6.8,51,3,1011.3,11.5
2016,1,9,12,0,7,53,3,1010.9,11.8
2016,1,9,13,0,7.1,53,3,1011,11.5
2016,1,9,14,0,7.5,56,3,1010.8,11.2
2016,1,9,15,0,7,58,6,1010.9,10.2
2016,1,9,16,0,7.1,63,0,1010.8,9.6
2016,1,9,17,0,7.6,67,0,1010.4,9.4
2016,1,9,18,0,7.7,66,0,1010.5,9.6
2016,1,9,19,0,7.8,71,0,1010.4,9.7
2016,1,9,20,0,7.1,59,0,1010.4,10.4
2016,1,9,21,0,7.1,57,0,1010.3,10.5
2016,1,9,22,0,6.5,55,0,1010,10.8
2016,1,9,23,0,6.5,53,0,1009.6,10.2
2016,1,10,0,0,6.5,54,0,1009.4,10.2
2016,1,10,1,0,6.7,55,0,1009.2,10.1
2016,1,10,2,0,6.3,51,0,1008.7,10.5
2016,1,10,3,0,5.8,48,3,1008.5,10.9
2016,1,10,4,0,5.8,46,2,1008,11
2016,1,10,5,0,5.9,46,2,1007.8,11.5
2016,1,10,6,0,6.8,54,5,1007.8,11.6
2016,1,10,7,0,7,51,6,1007.7,12.3
2016,1,10,8,0,6.9,48,7,1008,12.7
2016,1,10,9,0,7.5,52,7,1007.9,13.2
2016,1,10,10,0,8,49,7,1007.1,14.1
2016,1,10,11,0,7.7,52,6,1006.5,14.5
2016,1,10,12,0,8.6,56,7,1006.2,14.6
2016,1,10,13,0,8.4,56,7,1006,13.9
2016,1,10,14,0,9.1,60,7,1005.7,13.7
2016,1,10,15,0,9.7,65,7,1005.4,13.6
2016,1,10,16,0,10.5,70,7,1005.4,13.6
2016,1,10,17,0,12.1,79,7,1005.9,12.9
2016,1,10,18,0,11.9,87,7,1005.6,12.7
2016,1,10,19,0.2,12.5,90,7,1005.9,12.2
2016,1,10,20,0,12.1,92,7,1005.7,11.9
2016,1,10,21,0,11.9,92,7,1005.6,11.9
2016,1,10,22,0.4,12.6,89,7,1005.6,12
2016,1,10,23,0.2,12.3,94,6,1005.7,11.4
2016,1,11,0,0,12.5,95,7,1006,11.2
2016,1,11,1,0.2,12.5,96,7,1005.8,11.2
2016,1,11,2,0,12.2,94,7,1005.7,11.5
2016,1,11,3,0,12.1,92,6,1005.7,11.5
2016,1,11,4,0,11.8,91,5,1006.1,11.8
2016,1,11,5,0,12.2,89,2,1006.4,12.1
2016,1,11,6,0,12.3,89,2,1007.3,12.1
2016,1,11,7,0,12.1,88,0,1007.3,13
2016,1,11,8,0,12.5,78,0,1007.8,15
2016,1,11,9,0,12.7,72,3,1007.9,16.5
2016,1,11,10,0,13.2,68,3,1007.5,17.6
2016,1,11,11,0,13.2,69,3,1006.9,17.3
2016,1,11,12,0,13.4,69,4,1006.5,17.1
2016,1,11,13,0,13.6,71,2,1006.2,17
2016,1,11,14,0,13.1,73,5,1005.6,16.4
2016,1,11,15,0,12.4,69,5,1005.7,16.6
2016,1,11,16,0,11.8,66,6,1005.6,16.7
2016,1,11,17,0,11.6,65,5,1005.6,16.7
2016,1,11,18,0,12,67,5,1005.4,16.5
2016,1,11,19,0,12.2,68,4,1005.1,16.2
2016,1,11,20,0,11.2,67,2,1004.3,15.9
2016,1,11,21,0,12,67,0,1003.5,16.2
2016,1,11,22,0,11.6,69,0,1003.1,15.5
2016,1,11,23,0,11.4,66,0,1002.3,15.3
2016,1,12,0,0,11.8,71,4,1002,15.4
2016,1,12,1,0,11.2,68,4,1001.6,15.8
2016,1,12,2,0,11.2,67,4,1000.8,15.5
2016,1,12,3,0,11.2,67,4,999.6,15.4
2016,1,12,4,0,11.1,65,3,999.1,15.5
2016,1,12,5,0,10.9,65,3,998.3,15.3
2016,1,12,6,0,10.9,65,5,998.5,15.4
2016,1,12,7,0,10.9,61,5,998.1,16.2
2016,1,12,8,0,11,58,4,998.9,17.3
2016,1,12,9,0,10.9,54,4,998.3,18.2
2016,1,12,10,0,11.1,55,3,998,18.4
2016,1,12,11,0,11.3,56,2,998.1,18.8
2016,1,12,12,0,11.6,56,2,997.8,18.7
2016,1,12,13,0,11.6,56,4,998.1,19
2016,1,12,14,0,11.3,56,3,997.8,18.2
2016,1,12,15,0,11.4,59,4,998,17.5
2016,1,12,16,0,11,58,5,998.8,17.7
2016,1,12,17,0,11.4,58,6,999,17.4
2016,1,12,18,0,11.3,62,7,998.7,16.8
2016,1,12,19,1.6,12.1,71,8,999.1,15.6
2016,1,12,20,6.6,10.8,92,8,1000.6,9.7
2016,1,12,21,7.8,10.6,99,8,1001.8,8.6
2016,1,12,22,5.8,10.6,99,8,1001.8,8.5
2016,1,12,23,3,10.6,99,8,1001.9,8.1
2016,1,13,0,1.2,10.6,99,8,1002.5,8.3
2016,1,13,1,0,10.6,99,8,1001.9,8.5
2016,1,13,2,0,10.6,99,8,1001.6,8.8
2016,1,13,3,0,11.4,99,8,1002,9.3
2016,1,13,4,0,11.4,99,8,1001.9,9.3
2016,1,13,5,0,11.4,99,8,1002.6,9.3
2016,1,13,6,0,11.4,99,6,1003,9.3
2016,1,13,7,0,11.4,99,8,1003.2,9.6
2016,1,13,8,0,11.8,98,6,1003.5,10.3
2016,1,13,9,0,12.1,93,6,1003.4,11.9
2016,1,13,10,0,10.9,78,6,1002.9,12.7
2016,1,13,11,0,10.9,70,5,1002.4,14.7
2016,1,13,12,0,10.5,72,5,1002.1,13.3
2016,1,13,13,0,10.4,75,7,1002.8,12.5
2016,1,13,14,0,10.5,76,7,1003,12.1
2016,1,13,15,0.2,10.8,82,6,1003.1,11.1
2016,1,13,16,0,9.9,76,7,1003.5,10.4
2016,1,13,17,0,10.3,90,5,1004.2,9.3
2016,1,13,18,0,9.9,92,6,1004.4,8.7
2016,1,13,19,0,10.2,95,3,1004.7,8.4
2016,1,13,20,0,10.5,97,3,1005,8.2
2016,1,13,21,0,10.4,98,4,1005.2,8
2016,1,13,22,0,10.6,99,3,1005.2,8.1
2016,1,13,23,0,9.8,99,3,1004.8,7.8
2016,1,14,0,2.2,10.3,97,5,1005.9,8.5
2016,1,14,1,2.2,9.6,96,6,1006.7,7.2
2016,1,14,2,0.4,9.3,99,6,1006.5,6.8
2016,1,14,3,0,9.3,99,7,1007.3,6.5
2016,1,14,4,1.4,9.3,99,7,1008,6.7
2016,1,14,5,0,9.3,99,6,1008.6,6.9
2016,1,14,6,0.2,9.3,99,7,1009.5,6.5
2016,1,14,7,0,9.9,99,7,1010.3,7.1
2016,1,14,8,0,9.8,97,2,1011.4,7.6
2016,1,14,9,0,8.9,84,5,1012.1,9
2016,1,14,10,0,8.5,64,5,1011.9,11.7
2016,1,14,11,0,7.9,59,5,1011.7,11.5
2016,1,14,12,0,7.5,59,2,1011.9,10.8
2016,1,14,13,0,8,66,6,1012.1,11.1
2016,1,14,14,0,8.7,68,2,1012.5,10.1
2016,1,14,15,0,9.2,76,5,1012.7,9
2016,1,14,16,0,8.1,77,0,1013.3,8.1
2016,1,14,17,0,8.6,83,0,1013.9,7.4
2016,1,14,18,0,8.3,88,0,1014.2,6.7
2016,1,14,19,0,8.6,92,2,1014.4,6.6
2016,1,14,20,0,8.9,95,0,1014.6,6.5
2016,1,14,21,0,9,97,0,1014.4,6.5
2016,1,14,22,0,8.9,95,0,1014.1,6.4
2016,1,14,23,0,9.1,99,0,1014.1,6.3
2016,1,15,0,0,8.5,99,0,1014.4,5.9
2016,1,15,1,0,8.5,99,0,1014.6,5.5
2016,1,15,2,0,8.5,97,0,1014.4,5.2
2016,1,15,3,0,8.2,95,3,1013.8,5.3
2016,1,15,4,0,8,93,3,1013.6,5.3
2016,1,15,5,0,7.8,91,5,1013.6,5.4
2016,1,15,6,0,7.6,88,3,1013.5,5.7
2016,1,15,7,0,8.1,83,6,1013.3,7.3
2016,1,15,8,0,7.5,69,6,1012.8,9.6
2016,1,15,9,0,6.4,54,5,1012.3,10.9
2016,1,15,10,0,6.2,54,7,1011.5,9.7
2016,1,15,11,0,6.1,54,7,1010.5,9.9
2016,1,15,12,0,5.5,49,6,1009.8,11.3
2016,1,15,13,0,5.5,43,5,1009.3,11.1
2016,1,15,14,0,5.6,44,2,1008.7,10.3
2016,1,15,15,0,5.9,51,3,1008.2,9.6
2016,1,15,16,0,6.1,54,5,1007.7,9.3
2016,1,15,17,0,6.4,56,5,1007.3,9
2016,1,15,18,0,6.6,62,4,1006.8,8.5
2016,1,15,19,0,6.8,65,4,1006.3,8.8
2016,1,15,20,0,7.5,61,4,1005.9,10.4
2016,1,15,21,0,7.1,52,4,1004.9,12.1
2016,1,15,22,0,7.3,52,5,1004.7,12.5
2016,1,15,23,0,7.3,54,5,1004.1,12.7
2016,1,16,0,0,7.7,54,6,1004.2,12.3
2016,1,16,1,0,7.6,62,6,1003.9,11
2016,1,16,2,0,8,62,6,1003.1,11.5
2016,1,16,3,0,7.9,61,6,1002.8,11.6
2016,1,16,4,0,8.4,64,6,1002.7,11.9
2016,1,16,5,0,8,58,6,1002.9,12.9
2016,1,16,6,0.6,8.5,61,7,1003.1,12.5
2016,1,16,7,0.4,10,76,7,1003.2,11.4
2016,1,16,8,0,10,76,7,1002.9,11.7
2016,1,16,9,0,9.1,63,7,1002.5,13.6
2016,1,16,10,0,8.9,57,7,1001.7,14.5
2016,1,16,11,0,9.1,57,7,1001.3,14.7
2016,1,16,12,0.2,10.2,60,7,1001.1,14.5
2016,1,16,13,0,10.1,64,7,1001,14.5
2016,1,16,14,0,9.3,58,7,1000.7,14.6
2016,1,16,15,0,9.3,62,7,1000.3,13.7
2016,1,16,16,0,9.4,64,7,1000.3,13.3
2016,1,16,17,0,9.5,70,7,999.8,12.8
2016,1,16,18,0,10,71,7,999.6,12.5
2016,1,16,19,0,9.7,65,7,998.9,13.3
2016,1,16,20,0,9.3,66,7,998.1,14.3
2016,1,16,21,0,8.9,50,7,997.5,16.1
2016,1,16,22,0,8.9,49,7,997.1,16
2016,1,16,23,0,8.4,50,7,996.3,15.8
2016,1,17,0,0,8.7,47,7,995.4,16.1
2016,1,17,1,0,8.2,49,7,994.9,15.9
2016,1,17,2,0,8.5,50,7,993.7,15.4
2016,1,17,3,0,8.4,50,6,993,15.1
2016,1,17,4,0,8.2,50,5,992.4,15.5
2016,1,17,5,0,8.2,49,5,991.4,15.3
2016,1,17,6,0,8.4,50,4,991.4,15.2
2016,1,17,7,0,8.7,51,4,991,16.4
2016,1,17,8,0.2,8.3,45,5,990.4,17.9
2016,1,17,9,0.4,11.9,78,7,992.2,12
2016,1,17,10,0.2,11.3,88,7,992,11.6
2016,1,17,11,2.6,10.8,88,7,991.8,10.4
2016,1,17,12,2.4,10.9,95,7,991.7,9.8
2016,1,17,13,3.4,11,96,7,991.6,9.3
2016,1,17,14,3.8,11.2,98,7,991.7,9.1
2016,1,17,15,3.8,9.2,99,7,992.5,6.6
2016,1,17,16,3,8,99,7,993.2,4.2
2016,1,17,17,2.8,7.5,99,7,993.6,2.9
2016,1,17,18,3,7,99,7,994.1,1.9
2016,1,17,19,2.8,6.5,99,7,993.9,1.3
2016,1,17,20,2.6,6,99,7,993.9,0.9
2016,1,17,21,2.4,6,99,7,994.2,0.7
2016,1,17,22,1.8,6,99,7,994.2,0.8
2016,1,17,23,1,6,99,7,994.7,0.7
2016,1,18,0,0.6,6,99,7,994.9,0.4
2016,1,18,1,0.4,6,99,7,995.6,0.6
2016,1,18,2,0.2,6,99,7,995.8,0
2016,1,18,3,0.2,6,99,7,996.6,-0.2
2016,1,18,4,0,6,99,7,996.7,-0.4
2016,1,18,5,0,6,99,7,997.4,-0.5
2016,1,18,6,0.2,6,99,7,998,-0.6
2016,1,18,7,0,6,99,7,998.5,-0.3
2016,1,18,8,0.2,6,99,8,999.2,-0.4
2016,1,18,9,0.4,6,99,8,999.1,0
2016,1,18,10,0.2,6,99,8,999.1,-0.2
2016,1,18,11,0.4,6,99,8,998.8,0
2016,1,18,12,0.2,6,99,8,999,0
2016,1,18,13,0,6,99,8,999.3,-0.1
2016,1,18,14,0.2,6,99,8,1000.3,-0.3
2016,1,18,15,0,6,99,8,1001.1,-0.4
2016,1,18,16,0,6,99,8,1001.9,-0.4
2016,1,18,17,0,6,99,8,1002.6,-0.6
2016,1,18,18,0.2,6,99,8,1003.2,-0.7
2016,1,18,19,0,6,99,8,1003.5,-0.6
2016,1,18,20,0,6,99,8,1004.3,-0.5
2016,1,18,21,0,6,99,8,1004.7,-0.5
2016,1,18,22,0,6,99,8,1005.1,-0.6
2016,1,18,23,0,6,99,8,1005.6,-0.6
2016,1,19,0,0,6,99,8,1006.3,-0.7
2016,1,19,1,0,6,99,8,1006.9,-0.7
2016,1,19,2,0,6,99,8,1007.4,-0.8
2016,1,19,3,0,6,99,8,1007.9,-0.7
2016,1,19,4,0,6,99,8,1008.2,-0.9
2016,1,19,5,0,6,99,8,1009,-0.8
2016,1,19,6,0,6,99,8,1010,-0.8
2016,1,19,7,0,6,99,8,1011.1,-0.4
2016,1,19,8,0,6,99,8,1011.8,-0.3
2016,1,19,9,0.2,6,99,8,1012.5,-0.1
2016,1,19,10,0,5.9,98,8,1012.8,0
2016,1,19,11,0,5.6,94,6,1013.1,0.2
2016,1,19,12,0,5.2,85,7,1013.7,0.5
2016,1,19,13,0,5.4,85,7,1014.3,1
2016,1,19,14,0,5.2,86,7,1014.8,0.3
2016,1,19,15,0,5.4,88,6,1015.4,-0.4
2016,1,19,16,0,5.3,88,2,1015.9,-0.8
2016,1,19,17,0,4.9,90,0,1016.3,-1.4
2016,1,19,18,0,5.2,90,0,1016.8,-1.6
2016,1,19,19,0,5.4,96,0,1017.2,-1.7
2016,1,19,20,0,5.5,97,0,1017.3,-1.7
2016,1,19,21,0,5.2,99,2,1017.6,-2
2016,1,19,22,0,5.6,99,2,1017.4,-1.9
2016,1,19,23,0,5.2,99,2,1017.2,-2.1
2016,1,20,0,0,5.2,99,2,1017.3,-2.5
2016,1,20,1,0,5.2,99,0,1017.4,-2.4
2016,1,20,2,0,5.2,99,0,1016.9,-2.6
2016,1,20,3,0,5.2,99,0,1016.7,-2.5
2016,1,20,4,0,5.2,99,0,1016.7,-2.3
2016,1,20,5,0,5,95,0,1016.7,-2.4
2016,1,20,6,0,5.5,97,2,1016.4,-1.8
2016,1,20,7,0,5.5,94,5,1016.6,-0.7
2016,1,20,8,0,5.4,80,6,1016.6,2.5
2016,1,20,9,0,5.9,72,6,1016.6,4.4
2016,1,20,10,0,5.8,68,7,1015.9,6.2
2016,1,20,11,0,5.5,72,7,1015.2,5
2016,1,20,12,0,5.3,71,7,1014.7,4.3
2016,1,20,13,0,4.8,70,6,1014.4,3.9
2016,1,20,14,0,5.7,78,6,1014.1,3.1
2016,1,20,15,0,6.1,86,5,1014.1,2.1
2016,1,20,16,0,6,92,5,1014.3,1.4
2016,1,20,17,0,6.1,94,5,1014.3,1
2016,1,20,18,0,5.9,92,5,1013.8,1.2
2016,1,20,19,0,5.4,87,6,1013.6,1.5
2016,1,20,20,0,5.6,88,6,1013.6,1.5
2016,1,20,21,0,6,86,6,1013.4,2.1
2016,1,20,22,0,5.7,81,6,1013.1,1.9
2016,1,20,23,0,5.1,78,6,1013,1.8
2016,1,21,0,0,6,85,6,1012.9,2
2016,1,21,1,0,5.8,90,6,1012.7,1.6
2016,1,21,2,0,6.2,89,5,1012.5,2.1
2016,1,21,3,0,6.3,91,6,1012.5,2.1
2016,1,21,4,0,6,93,6,1012.5,2.1
2016,1,21,5,0,6.5,92,6,1013,2
2016,1,21,6,0,6.1,94,6,1013.6,1.9
2016,1,21,7,0,6.3,91,6,1014,2.8
2016,1,21,8,0,6.4,82,5,1014.3,4.9
2016,1,21,9,0,7.4,73,5,1014.4,7.4
2016,1,21,10,0,7,65,4,1014,8.8
2016,1,21,11,0,6.8,67,4,1013.6,8.4
2016,1,21,12,0,6.9,72,4,1013.6,6.1
2016,1,21,13,0,6.5,76,5,1014,6.4
2016,1,21,14,0,6.3,78,5,1014.4,4.9
2016,1,21,15,0,6.7,83,3,1014.7,4.2
2016,1,21,16,0,6.3,81,0,1015.4,3.8
2016,1,21,17,0,6.6,87,0,1015.8,3.2
2016,1,21,18,0,6.3,91,0,1016.2,2.6
2016,1,21,19,0,6.7,95,0,1016.5,2.2
2016,1,21,20,0,6.9,98,0,1016.7,2.1
2016,1,21,21,0,6.4,98,0,1017,1.9
2016,1,21,22,0,6.5,99,0,1017.1,1.8
2016,1,21,23,0,6.4,95,3,1017.3,2.4
